"Date","Price","Open","High","Low","Change %"
"Sep 16, 2021","-0.484","-0.482","-0.460","-0.494","0.21%"
"Sep 15, 2021","-0.483","-0.503","-0.460","-0.503","-3.78%"
"Sep 14, 2021","-0.502","-0.484","-0.465","-0.505","3.08%"
"Sep 13, 2021","-0.487","-0.479","-0.451","-0.496","0.00%"
"Sep 12, 2021","-0.487","-0.487","-0.487","-0.487","1.25%"
"Sep 11, 2021","-0.481","-0.481","-0.481","-0.481","-0.21%"
"Sep 10, 2021","-0.482","-0.491","-0.453","-0.492","-2.03%"
"Sep 09, 2021","-0.492","-0.458","-0.433","-0.498","5.81%"
"Sep 08, 2021","-0.465","-0.458","-0.439","-0.471","-1.06%"
"Sep 07, 2021","-0.470","-0.490","-0.465","-0.491","-5.24%"
"Sep 06, 2021","-0.496","-0.496","-0.467","-0.503","1.02%"
"Sep 03, 2021","-0.491","-0.503","-0.466","-0.507","-2.58%"
"Sep 02, 2021","-0.504","-0.491","-0.479","-0.513","4.78%"
"Sep 01, 2021","-0.481","-0.469","-0.446","-0.487","3.00%"
